word,lemma
oneindig,oneindig
eeuwig,eeuwig
ver,ver
onbeperkt,onbeperkt
ruim,ruim
eindeloos,eindeloos
veel,veel
wiskunde,wiskunde
pi,pi
heelal,heelal
symbool,symbool
groots,groots
lang,lang
staren,staren
horizon,horizon
klein,klein
cirkel,cirkel
groot,groot
mateloos,mateloos
getallen,getal
liefde,liefde
onmeetbaar,onmeetbaar
hemel,hemel
ruimte,ruimte
god,god
grenzeloos,grenzeloos
lijn,lijn
ooit,ooit
ontelbaar,ontelbaar
weids,weids
onmetelijk,onmetelijk
onuitputtelijk,onuitputtelijk
alles,alles
weg,weg
dood,dood
verzuipen,verzuipen
verdrinken,verdrinken
boek,boek
zinken,zinken
water,water
oei,oei
werk,werk
drinken,drinken
dronken,dronken
angst,angst
luchttekort,luchttekort
verdinken,verdinken
bier,bier
drank,drank
akelig,akelig
kanaal,kanaal
zwemmen,zwemmen
watersnood,watersnood
gracht,gracht
comadrinken,comadrinken
katje,kat
sterven,sterven
teveel,teveel
dodelijk,dodelijk
zee,zee
somber,somber
duister,duister
regen,regen
triest,triest
donker,donker
bedroefd,bedroeven
nacht,nacht
verdriet,verdriet
onprettig,onprettig
down,down
grijs,grijs
melancholisch,melancholisch
winter,winter
herfst,herfst
droevig,droevig
regenachtig,regenachtig
triestig,triestig
treurig,treurig
zwaarmoedig,zwaarmoedig
sip,sip
piekeren,piekeren
saai,saai
depressie,depressie
droef,droef
serieus,serieus
gebeurtenis,gebeurtenis
kleurloos,kleurloos
weer,weer
depressief,depressief
mens,mens
doods,dood
zwart,zwart
ernstig,ernstig
grauw,grauw
kop,kop
dierenhoofd,dierenhoofd
hoofd,hoofd
koffie,koffie
paardekop,paardekop
stoot,stoten
eten,eten
dier,dier
dicht,dicht
paard,paard
bovenkant,bovenkant
staart,staart
pijn,pijn
jut,jut
gooien,gooien
munt,munt
dieren,dier
eerst,eerst
thee,thee
kat,kat
hoofdpijn,hoofdpijn
verstand,verstand
haar,haar
kopstoot,kopstoot
tas,tas
krant,krant
excel,excel
computer,computer
programma,programma
groeien,groeien
computerprogramma,computerprogramma
bestand,bestand
word,worden
pc,pc
windows,windows
rekenprogramma,rekenprogramma
access,access
spreadsheet,spreadsheet
rekenen,rekenen
overzicht,overzicht
lijst,lijst
handig,handig
software,software
tabel,tabel
uitmuntend,uitmuntend
advance,advance
rekenblad,rekenblad
overdreven,overdreven
moeilijk,moeilijk
tabellen,tabel
winkel,winkel
x,x
buitengewoon,buitengewoon
pcprogramma,pcprogramma
lijnen,lijn
office,office
alvorens,alvorens
voordat,voordat
vooraf,vooraf
vooraleer,vooraleer
voor,voor
vooralleer,vooralleer
aleer,aleer
voorafje,voorafje
vervolgens,vervolgens
dit,dit
eerder,eerder
oud,oud
eer,eer
beslissen,beslissen
vooreerst,vooreerst
voorheen,voorheen
erna,erna
nadenken,nadenken
wachten,wachten
tevoren,tevoren
voordien,voordien
tijd,tijd
rangorde,rangorde
planning,planning
begin,begin
daarvoor,daarvoor
vroegtijdig,vroegtijdig
djembe,djembe
afrika,afrika
trommel,trommel
muziek,muziek
intsrument,intsrument
handen,hand
instrument,instrument
willem,willem
afrikaans,afrikaans
wens,wens
muziekinstrument,muziekinstrument
ritme,ritme
drumtoestel,drumtoestel
trom,trom
trommle,trommle
gewaad,gewaad
primitief,primitief
vreemd,vreemd
tamtam,tamtam
nieuwigheidje,nieuwigheid
orkest,orkest
chinees,chinees
zwarten,zwart
slaginstrument,slaginstrument
negers,neger
doetje,doetje
mietje,miet
watje,watje
sukkeltje,sukkel
eitje,ei
braaf,braaf
zacht,zacht
mama,mama
sullig,sullig
sulletje,sul
sukkel,sukkel
lamzak,lamzak
flauw,flauw
brave,brave
dutske,duts
snul,snul
schatje,schat
prutske,pruts
knoetje,knoet
slungel,slungel
slappeling,slappeling
eikel,eikel
geen,geen
baby,baby
homo,homo
zwakkeling,zwakkeling
wimp,wimp
slap,slap
assertieveling,assertieveling
zwak,zwak
muts,muts
seut,seut
schol,schelen
gezondheid,gezondheid
pint,pint
vis,vis
proost,proost
santé,santé
café,café
groep,groep
platvis,platvis
wijn,wijn
dorst,dorst
sante,sant
filet,filet
lekker,lekker
restaurant,restaurant
vissoort,vissoort
glas,glas
gezelligheid,gezelligheid
nadelig,nadelig
schadelijk,schadelijk
negatief,negatief
onvoordelig,onvoordelig
slecht,slecht
nefast,nefast
nadeel,nadeel
pech,pech
spijtig,spijtig
gevolgen,gevolg
denken,denken
kost,kosten
ongezond,ongezond
naar,naar
verlies,verlies
schade,schade
voordelig,voordelig
oplichten,oplichten
erg,erg
lastig,lastig
economie,economie
gevolg,gevolg
afgezet,afzetten
fout,fout
anti,anti
droogte,droogte
